Job,Salary,Company,Location
Analista de base de datos,"$12,500  Mensual",Grupo Prom,Ciudad de México
Analista de Base de datos,"$8,000 - $8,500  Mensual",Pepsico División Foods,Oax.
Analista de Base de Datos,"$18,000  Mensual",F1 MANAGEMENT S.C,CDMX
Analista de base de datos,"$12,500  Mensual",Grupo Prom,Ciudad de México
ANALISTA DE BASES DE DATOS,,"Seguros Atlas, S.A.",CDMX
Analista de Base de Datos,,Grupo Salinas,CDMX
Analista de bases de datos,"$20,000 - $22,000  Mensual",KU-BO FINANCIERO SA DE CV SFP,México
Analista de base de datos,,Grupo Salinas,CDMX
Analista de base de datos,,Softtek,N.L.
Analista de Bases de Datos,"$20,000 - $22,600  Mensual",Grupo STT (oficina Sonora),Ciudad de México
Analista de Bases de Datos,"$20,000 - $22,600  Mensual",Grupo STT (oficina Sonora),Qro.
Analista de bases de datos,,,N.L.
Analista de bases de datos,"$12,999 - $13,000  Mensual",PONCOT,CDMX
Analista de Conciliación de Datos,"$18,000  Mensual",Banamex,Ciudad de México
Analista de bases de datos,,,Chih.
analista de bases de datos,"$8,000 - $10,000  Mensual",Latin America Business Consulting ...,Edo. Méx.​
Analista de bases de datos,,Santander,Qro.
ANALISTA DE BASES DE DATOS,,Grupo Salinas,CDMX
Analista de Base de Datos,"$16,000  Mensual",,CDMX
Analista de base de datos,"$13,500 - $17,000  Mensual",,N.L.
Analista de bases de datos / Ciencia en datos,"$8,750 - $10,000  Mensual","Computación, Datos y Tecnología, S...",Edo. Méx.​
Analista Gobierno de datos - BI,,Grupo Salinas,CDMX
Analista Base de Datos Sr (MIS),,"Asesores y Consultores, S.C.",CDMX
auditor/analista base de datos,"$30,000 - $35,000  Mensual",Grupo Salinas,CDMX
Analista de Datos y Negocios Financieros Jr.,,"Operativo Evenplan, S.C.",CDMX
ANALISTA DE DATOS - EXP. EN SQL Y PYTHON,,ILUMINACIÓN ESPECIALIZADA DE OCCID...,Jal.
Analista de Datos / Business Analytics Specialist,,"KANSAS CITY SOUTHERN DE MEXICO, S....",N.L.
Analista de base de datos (SQL),"$30,000 - $30,168  Mensual",Linde México,CDMX
Analista de bases de datos Jr.,"$10,000  Mensual",Te creemos Administración y Servic...,Ciudad de México
Analista de Base de Datos para Ventas,"$15,000 - $17,000  Mensual",Marketstrat,CDMX
Analista de bases de datos Excel,"$17,000 - $20,000  Mensual",,CDMX
